text,category,priority
Support needed: network access is completely unavailable in the main office,Network,High
Urgent issue: desktop application closes whenever I try to read a message,Software,Medium
Please help. i was charged the wrong price for monthly subscription,Billing,Medium
Please help. my credentials are being rejected by HR portal,Account Access,Medium
A suspicious attachment was sent to my customer portal account,Security,Medium
I need assistance because the entire customer platform is offline and nobody can use it,Infrastructure,Critical
Please help. i was charged the wrong price for software license,Billing,Medium
ERP system installation fails on my computer,Software,Low
I need help configuring Outlook,Software,Low
All customers have lost access to the backend service,Infrastructure,Critical
I need assistance because i received a suspicious email related to employee portal,Security,Medium
I need assistance because the database server is experiencing a serious service disruption,Infrastructure,High
I am unable to authenticate to employee portal,Account Access,Medium
Please send me a password reset for customer portal,Account Access,Low
My admin dashboard account is locked,Account Access,Medium
A duplicate charge appeared for software license,Billing,High
Excel crashes whenever I open it,Software,Medium
Network performance is inconsistent in the support department,Network,Low
I urgently need access to admin dashboard for business operations,Account Access,High
Outlook closes whenever I try to read a message,Software,Medium
The keyboard on my workstation has a few keys that do not work,Hardware,Low
I forgot my password for customer portal,Account Access,Low
Urgent issue: the keyboard on my laptop has a few keys that do not work,Hardware,Low
I need assistance because network performance is inconsistent in the finance department,Network,Low
Urgent issue: i have completely lost access to admin dashboard and cannot continue working,Account Access,High
A major component of the cloud platform is failing,Infrastructure,High
I want to change my Microsoft 365 password,Account Access,Low
Many employees cannot access the database server,Infrastructure,High
WiFi signal is weak in the finance department,Network,Low
Please help. the main office cannot connect to the corporate network,Network,High
company application closes unexpectedly when I use it,Software,Medium
A major component of the customer platform is failing,Infrastructure,High
The amount on my cloud subscription invoice is incorrect,Billing,Medium
Please help. company application failure is preventing the team from completing critical work,Software,High
The entire production environment for production server has gone offline,Infrastructure,Critical
Suspicious activity was detected on my employee portal account,Security,High
Please help. suspicious activity was detected on my HR portal account,Security,High
I need assistance because please send me a password reset for employee portal,Account Access,Low
I received an unexpected security alert from employee portal,Security,Medium
Support needed: the network connection keeps dropping in the branch office,Network,Medium
Please help. someone may have stolen my admin dashboard login credentials,Security,High
An important feature in desktop application has completely stopped working,Software,High
I received a phishing message asking for my customer portal password,Security,High
My cloud account account was disabled and important work is blocked,Account Access,High
Support needed: a security breach exposed confidential data in company account,Security,Critical
Support needed: someone may have stolen my HR portal login credentials,Security,High
Microsoft Teams closes whenever I try to read a message,Software,Medium
Please help. the printer connected to my office computer has a minor issue,Hardware,Low
I need assistance because my account was charged multiple times for company purchase,Billing,High
Support needed: sensitive company data from HR portal may have been stolen,Security,Critical
All customers have lost access to the cloud platform,Infrastructure,Critical
Please help. a major component of the database server is failing,Infrastructure,High
Support needed: i was charged the wrong price for company purchase,Billing,Medium
The production environment keeps crashing during business hours,Infrastructure,High
The mouse connected to my office computer is not responding correctly,Hardware,Low
Please help. the printer connected to my desktop computer has a minor issue,Hardware,Low
I need assistance because my refund for service plan has not arrived,Billing,Medium
Support needed: accounting software closes whenever I try to read a message,Software,Medium
I urgently need access to company email for business operations,Account Access,High
Urgent issue: the latest update for Excel will not install,Software,Low
The connection becomes unstable throughout the day in the engineering floor,Network,Medium
Employees keep losing network connectivity in the meeting area,Network,Medium
Outlook stops responding after a few minutes,Software,Medium
CRM application crashes continuously for several employees,Software,High
Internet latency is very high in the support department,Network,Medium
Urgent issue: an attacker gained administrator access to customer portal,Security,Critical
Please help. the production web application is down across the organization,Infrastructure,Critical
Please help. the printer connected to my workstation has a minor issue,Hardware,Low
Login to company account keeps failing,Account Access,Medium
Please help. i need billing details for cloud subscription,Billing,Low
I need assistance because employees keep losing network connectivity in the engineering floor,Network,Medium
I need assistance because network access is completely unavailable in the support department,Network,High
There was an unusual login attempt on cloud account,Security,Medium
company application displays an unexpected error,Software,Medium
Support needed: i need help resetting my password for Microsoft 365,Account Access,Low
Please help. the production server has completely crashed for all users,Infrastructure,Critical
Support needed: my HR portal account is locked,Account Access,Medium
Support needed: the network connection keeps dropping in the engineering floor,Network,Medium
I cannot access my admin dashboard account after several attempts,Account Access,Medium
Please help. employees in the finance department cannot connect to the company VPN,Network,High
Please help. eRP system failure is preventing the team from completing critical work,Software,High
Please help. my company account account is locked,Account Access,Medium
Some employees are having trouble accessing the production server,Infrastructure,Medium
Urgent issue: i want to change my admin dashboard password,Account Access,Low
Urgent issue: the cloud platform has completely crashed for all users,Infrastructure,Critical
Someone may have stolen my employee portal login credentials,Security,High
Please help. wiFi signal is weak in the finance department,Network,Low
An attacker gained administrator access to cloud account,Security,Critical
Confidential information from HR portal was accessed without permission,Security,Critical
I need assistance because the hard drive in my desktop computer appears to have failed,Hardware,High
Support needed: outlook displays an unexpected error,Software,Medium
Urgent issue: the backend service has completely crashed for all users,Infrastructure,Critical
The entire main office has lost network connectivity,Network,High
A security breach exposed confidential data in Microsoft 365,Security,Critical
I received a phishing message asking for my employee portal password,Security,High
My account was charged multiple times for service plan,Billing,High
I want to change my admin dashboard password,Account Access,Low
There is an unexpected charge for company purchase,Billing,Medium
The password reset link for company email has expired,Account Access,Low
Urgent issue: i have completely lost access to company email and cannot continue working,Account Access,High
accounting software closes unexpectedly when I use it,Software,Medium
Urgent issue: the branch office cannot connect to the corporate network,Network,High
accounting software failure is preventing the team from completing critical work,Software,High
Support needed: internet disconnects several times a day in the branch office,Network,Medium
The cloud platform is unavailable for many users,Infrastructure,High
Please help. an attacker gained administrator access to company account,Security,Critical
My workstation will not turn on,Hardware,High
An attacker gained administrator access to company account,Security,Critical
An important feature in company application has completely stopped working,Software,High
I need assistance because company application crashes when I try to open a file,Software,Medium
I need assistance because internet speed is slightly slow in the support department,Network,Low
Someone logged into my company account account without permission,Security,High
Internet speed is slightly slow in the meeting area,Network,Low
Urgent issue: i need help installing accounting software,Software,Low
Urgent issue: i cannot remember my employee portal password,Account Access,Low
Support needed: i have completely lost access to HR portal and cannot continue working,Account Access,High
Performance of the backend service has degraded,Infrastructure,Medium
I need assistance because the cloud platform keeps crashing during business hours,Infrastructure,High
CRM application closes whenever I try to read a message,Software,Medium
I cannot access my company account account after several attempts,Account Access,Medium
Please help. the password reset link for company email has expired,Account Access,Low
I received an unexpected security alert from admin dashboard,Security,Medium
Urgent issue: eRP system closes unexpectedly when I use it,Software,Medium
I need assistance because the cloud platform is experiencing a serious service disruption,Infrastructure,High
I need a copy of my invoice for software license,Billing,Low
Support needed: i received a phishing message asking for my company account password,Security,High
My company laptop overheats and shuts down occasionally,Hardware,Medium
Confidential information from customer portal was accessed without permission,Security,Critical
Support needed: my account was charged multiple times for software license,Billing,High
The keyboard on my laptop has a few keys that do not work,Hardware,Low
I was charged the wrong price for support plan,Billing,Medium
accounting software closes whenever I try to read a message,Software,Medium
Please help. i received a suspicious email related to Microsoft 365,Security,Medium
Urgent issue: the production cloud platform is down across the organization,Infrastructure,Critical
Employees in the finance department cannot connect to the company VPN,Network,High
Support needed: the connection becomes unstable throughout the day in the finance department,Network,Medium
Microsoft Teams crashes when I try to open a file,Software,Medium
Support needed: all customers have lost access to the database server,Infrastructure,Critical
A security breach exposed confidential data in customer portal,Security,Critical
I cannot sign into Microsoft 365,Account Access,Medium
I need assistance because some employees are having trouble accessing the customer platform,Infrastructure,Medium
I received a suspicious email related to Microsoft 365,Security,Medium
I forgot my password for company email,Account Access,Low
Please help. i was charged the wrong price for cloud subscription,Billing,Medium
The printer connected to my office computer has a minor issue,Hardware,Low
Support needed: i urgently need access to cloud account for business operations,Account Access,High
I have completely lost access to admin dashboard and cannot continue working,Account Access,High
Urgent issue: wiFi disconnects frequently in the meeting area,Network,Medium
An attacker gained administrator access to employee portal,Security,Critical
WiFi disconnects frequently in the engineering floor,Network,Medium
The backend service is responding slowly to requests,Infrastructure,Medium
I need assistance because please explain a charge for monthly subscription,Billing,Low
The backend service is running unusually slowly,Infrastructure,Medium
I need assistance because the connection becomes unstable throughout the day in the engineering floor,Network,Medium
A major component of the database server is failing,Infrastructure,High
accounting software freezes during normal work,Software,Medium
Support needed: the production customer platform is down across the organization,Infrastructure,Critical
I need assistance because someone logged into my cloud account account without permission,Security,High
Urgent issue: my workstation overheats and shuts down occasionally,Hardware,Medium
An important feature in Outlook has completely stopped working,Software,High
Urgent issue: my laptop shuts down immediately after startup,Hardware,High
Login to admin dashboard keeps failing,Account Access,Medium
Suspicious activity was detected on my Microsoft 365 account,Security,High
My account was charged multiple times for cloud subscription,Billing,High
The keyboard on my desktop computer has a few keys that do not work,Hardware,Low
I need a copy of my invoice for company purchase,Billing,Low
Please help. i need billing details for software license,Billing,Low
Support needed: some employees are having trouble accessing the web application,Infrastructure,Medium
Administrator credentials for HR portal have been compromised,Security,Critical
Support needed: accounting software failure is preventing the team from completing critical work,Software,High
Outlook crashes continuously for several employees,Software,High
I need assistance because wiFi coverage is poor in the main office,Network,Low
I need assistance because cRM application closes whenever I try to read a message,Software,Medium
Please provide the receipt for service plan,Billing,Low
Money was taken even though the service plan transaction failed,Billing,High
I need help resetting my password for Microsoft 365,Account Access,Low
Support needed: please provide the receipt for service plan,Billing,Low
I need help installing Microsoft Teams,Software,Low
Network access is completely unavailable in the meeting area,Network,High
Administrator credentials for admin dashboard have been compromised,Security,Critical
I need assistance because the backend service is responding slowly to requests,Infrastructure,Medium
Please help. a suspicious attachment was sent to my company email account,Security,Medium
Urgent issue: the network connection keeps dropping in the support department,Network,Medium
My company email account was disabled and important work is blocked,Account Access,High
Please help. eRP system crashes when I try to open a file,Software,Medium
The network connection keeps dropping in the branch office,Network,Medium
desktop application stops responding after a few minutes,Software,Medium
Urgent issue: a security breach exposed confidential data in admin dashboard,Security,Critical
Please help. the production server is unavailable company wide,Infrastructure,Critical
I need assistance because i received a phishing message asking for my admin dashboard password,Security,High
I need assistance because the internal portal keeps crashing during business hours,Infrastructure,High
Support needed: money was taken even though the monthly subscription transaction failed,Billing,High
Please explain a charge for cloud subscription,Billing,Low
The database server has completely crashed for all users,Infrastructure,Critical
Please help. desktop application installation fails on my computer,Software,Low
Where can I download my company purchase invoice,Billing,Low
Please send me a password reset for company account,Account Access,Low
Internet disconnects several times a day in the support department,Network,Medium
Outlook crashes when I try to open a file,Software,Medium
The main office cannot connect to the corporate network,Network,High
I need assistance because all customers have lost access to the customer platform,Infrastructure,Critical
Please help. outlook closes unexpectedly when I use it,Software,Medium
I need assistance because network access is completely unavailable in the finance department,Network,High
I need help configuring Microsoft Teams,Software,Low
I received a phishing message asking for my company account password,Security,High
Urgent issue: my Microsoft 365 account was disabled and important work is blocked,Account Access,High
I need assistance because the display on my company laptop keeps flickering,Hardware,Medium
Login to cloud account keeps failing,Account Access,Medium
Urgent issue: i received a phishing message asking for my Microsoft 365 password,Security,High
I need assistance because please send me a password reset for cloud account,Account Access,Low
Urgent issue: i cannot sign into company account,Account Access,Medium
I need assistance because the production server is experiencing a serious service disruption,Infrastructure,High
I have completely lost access to customer portal and cannot continue working,Account Access,High
Support needed: accounting software freezes during normal work,Software,Medium
Please help. there was an unusual login attempt on company account,Security,Medium
Please provide the receipt for monthly subscription,Billing,Low
Support needed: a major component of the customer platform is failing,Infrastructure,High
All customers have lost access to the production server,Infrastructure,Critical
Urgent issue: an attacker gained administrator access to HR portal,Security,Critical
Urgent issue: the entire backend service is offline and nobody can use it,Infrastructure,Critical
Urgent issue: the entire finance department has lost network connectivity,Network,High
I am unable to authenticate to company email,Account Access,Medium
There is an unexpected charge for software license,Billing,Medium
Urgent issue: an important feature in Microsoft Teams has completely stopped working,Software,High
Support needed: i received an unexpected security alert from admin dashboard,Security,Medium
Please explain a charge for monthly subscription,Billing,Low
I need assistance because my cloud account account was disabled and important work is blocked,Account Access,High
Please help. the password reset link for Microsoft 365 has expired,Account Access,Low
Please help. the production environment is unavailable for many users,Infrastructure,High
I need assistance because internet latency is very high in the branch office,Network,Medium
Urgent issue: accounting software crashes when I try to open a file,Software,Medium
Support needed: i cannot access my HR portal account after several attempts,Account Access,Medium
company application stops responding after a few minutes,Software,Medium
I cannot remember my customer portal password,Account Access,Low
The cloud platform keeps crashing during business hours,Infrastructure,High
The backend service is experiencing a serious service disruption,Infrastructure,High
I need assistance because malware has infected systems connected to customer portal,Security,Critical
Support needed: i received a suspicious email related to HR portal,Security,Medium
Please help. the database server is responding slowly to requests,Infrastructure,Medium
Support needed: my company laptop continuously restarts and I cannot work,Hardware,High
Urgent issue: microsoft Teams crashes when I try to open a file,Software,Medium
Please help. internet speed is slightly slow in the main office,Network,Low
I urgently need access to employee portal for business operations,Account Access,High
company application is completely unusable and blocking my work,Software,High
Network access is completely unavailable in the support department,Network,High
company application failure is preventing the team from completing critical work,Software,High
I received a suspicious email related to customer portal,Security,Medium
Support needed: administrator credentials for cloud account have been compromised,Security,Critical
Please help. wiFi coverage is poor in the meeting area,Network,Low
I need assistance because my employee portal account is locked,Account Access,Medium
My credentials are being rejected by employee portal,Account Access,Medium
I need assistance because please provide the receipt for company purchase,Billing,Low
Urgent issue: some employees are having trouble accessing the database server,Infrastructure,Medium
Please help. my desktop computer continuously restarts and I cannot work,Hardware,High
I need assistance because employees in the main office cannot connect to the company VPN,Network,High
Outlook displays an unexpected error,Software,Medium
Urgent issue: employees in the engineering floor cannot connect to the company VPN,Network,High
Please help. the internal portal has completely crashed for all users,Infrastructure,Critical
Urgent issue: a suspicious attachment was sent to my customer portal account,Security,Medium
My office computer screen flashes while I am working,Hardware,Medium
I cannot access my company email account after several attempts,Account Access,Medium
Support needed: company application displays an unexpected error,Software,Medium
The production server is experiencing a serious service disruption,Infrastructure,High
I need assistance because cRM application is completely unusable and blocking my work,Software,High
Please help. microsoft Teams closes unexpectedly when I use it,Software,Medium
Urgent issue: someone logged into my employee portal account without permission,Security,High
desktop application is completely unusable and blocking my work,Software,High
Support needed: excel stops responding after a few minutes,Software,Medium
The connection becomes unstable throughout the day in the branch office,Network,Medium
Some employees are having trouble accessing the web application,Infrastructure,Medium
The meeting area cannot connect to the corporate network,Network,High
The backend service is unavailable company wide,Infrastructure,Critical
I need assistance because company application crashes continuously for several employees,Software,High
Urgent issue: my company laptop is making a strange noise,Hardware,Low
Some employees are having trouble accessing the database server,Infrastructure,Medium
Support needed: sensitive company data from employee portal may have been stolen,Security,Critical
Please help. my HR portal account was disabled and important work is blocked,Account Access,High
My access to admin dashboard suddenly stopped during critical work,Account Access,High
Employees keep losing network connectivity in the main office,Network,Medium
I cannot access my employee portal account after several attempts,Account Access,Medium
Support needed: malware has infected systems connected to company email,Security,Critical
Urgent issue: internet latency is very high in the meeting area,Network,Medium
I received a phishing message asking for my cloud account password,Security,High
Urgent issue: suspicious activity was detected on my employee portal account,Security,High
ERP system failure is preventing the team from completing critical work,Software,High
Internet disconnects several times a day in the meeting area,Network,Medium
Please help. my refund for company purchase has not arrived,Billing,Medium
Support needed: network performance is inconsistent in the branch office,Network,Low
Urgent issue: desktop application failure is preventing the team from completing critical work,Software,High
I need assistance because the connection becomes unstable throughout the day in the meeting area,Network,Medium
The customer platform is experiencing a serious service disruption,Infrastructure,High
Urgent issue: confidential information from company email was accessed without permission,Security,Critical
An attacker gained administrator access to company email,Security,Critical
A duplicate charge appeared for service plan,Billing,High
Malware has infected systems connected to company email,Security,Critical
WiFi signal is weak in the engineering floor,Network,Low
My workstation continuously restarts and I cannot work,Hardware,High
Many employees cannot access the production server,Infrastructure,High
I cannot sign into employee portal,Account Access,Medium
A security breach exposed confidential data in HR portal,Security,Critical
Support needed: i need help configuring company application,Software,Low
My Microsoft 365 account is locked,Account Access,Medium
accounting software installation fails on my computer,Software,Low
company application closes whenever I try to read a message,Software,Medium
The database server keeps crashing during business hours,Infrastructure,High
Please help. i forgot my password for HR portal,Account Access,Low
Support needed: the internal portal is unavailable for many users,Infrastructure,High
Urgent issue: confidential information from customer portal was accessed without permission,Security,Critical
WiFi coverage is poor in the support department,Network,Low
I urgently need access to company account for business operations,Account Access,High
Please help. a duplicate charge appeared for service plan,Billing,High
Many employees cannot access the web application,Infrastructure,High
WiFi signal is weak in the meeting area,Network,Low
Payment failed but money was deducted for monthly subscription,Billing,High
I need assistance because i cannot sign into employee portal,Account Access,Medium
My workstation overheats and shuts down occasionally,Hardware,Medium
My refund for service plan is delayed,Billing,Medium
The display on my workstation keeps flickering,Hardware,Medium
Please send me a password reset for employee portal,Account Access,Low
I need assistance because my refund for service plan is delayed,Billing,Medium
Please help. there was an unusual login attempt on employee portal,Security,Medium
My customer portal credentials may have been compromised,Security,High
Urgent issue: i am unable to authenticate to cloud account,Account Access,Medium
The customer platform is unavailable company wide,Infrastructure,Critical
Urgent issue: excel crashes when I try to open a file,Software,Medium
I received an unexpected security alert from HR portal,Security,Medium
My access to employee portal suddenly stopped during critical work,Account Access,High
Please help. the web application is running unusually slowly,Infrastructure,Medium
Urgent issue: i cannot access my company account account after several attempts,Account Access,Medium
My employee portal credentials may have been compromised,Security,High
I need assistance because the database server has completely crashed for all users,Infrastructure,Critical
I need help resetting my password for employee portal,Account Access,Low
Please help. a suspicious attachment was sent to my company account account,Security,Medium
Please help. my account was charged multiple times for service plan,Billing,High
The keyboard on my company laptop has a few keys that do not work,Hardware,Low
Please help. all customers have lost access to the production server,Infrastructure,Critical
Urgent issue: the network connection keeps dropping in the finance department,Network,Medium
Someone logged into my employee portal account without permission,Security,High
ERP system crashes when I try to open a file,Software,Medium
Please help. i cannot remember my cloud account password,Account Access,Low
I need billing details for service plan,Billing,Low
Support needed: the production environment has completely crashed for all users,Infrastructure,Critical
Urgent issue: the entire main office has lost network connectivity,Network,High
My access to cloud account suddenly stopped during critical work,Account Access,High
I was charged the wrong price for cloud subscription,Billing,Medium
Suspicious activity was detected on my customer portal account,Security,High
The cloud platform is responding slowly to requests,Infrastructure,Medium
Urgent issue: suspicious activity was detected on my admin dashboard account,Security,High
CRM application closes unexpectedly when I use it,Software,Medium
Employees in the meeting area cannot connect to the company VPN,Network,High
There is an unexpected charge for cloud subscription,Billing,Medium
The password reset link for customer portal has expired,Account Access,Low
Support needed: performance of the cloud platform has degraded,Infrastructure,Medium
All customers have lost access to the database server,Infrastructure,Critical
I need assistance because malware has infected systems connected to company account,Security,Critical
Urgent issue: the mouse connected to my office computer is not responding correctly,Hardware,Low
I am unable to authenticate to admin dashboard,Account Access,Medium
I need assistance because my laptop continuously restarts and I cannot work,Hardware,High
I need help installing company application,Software,Low
The production web application is down across the organization,Infrastructure,Critical
Someone may have stolen my HR portal login credentials,Security,High
Urgent issue: sensitive company data from customer portal may have been stolen,Security,Critical
A suspicious attachment was sent to my employee portal account,Security,Medium
Please help. i cannot access my employee portal account after several attempts,Account Access,Medium
There is a complete outage of the backend service,Infrastructure,Critical
The production cloud platform is down across the organization,Infrastructure,Critical
Support needed: network access is completely unavailable in the branch office,Network,High
There was an unusual login attempt on customer portal,Security,Medium
I need billing details for support plan,Billing,Low
The entire meeting area has lost network connectivity,Network,High
My refund for company purchase has not arrived,Billing,Medium
I need assistance because desktop application crashes continuously for several employees,Software,High
Where can I download my support plan invoice,Billing,Low
Please help. my account was charged multiple times for support plan,Billing,High
I forgot my password for HR portal,Account Access,Low
accounting software crashes whenever I open it,Software,Medium
I need assistance because an important feature in ERP system has completely stopped working,Software,High
Urgent issue: i received an unexpected security alert from company account,Security,Medium
My desktop computer is making a strange noise,Hardware,Low
My laptop will not turn on,Hardware,High
Please help. the keyboard on my workstation has a few keys that do not work,Hardware,Low
CRM application displays an unexpected error,Software,Medium
Performance of the customer platform has degraded,Infrastructure,Medium
My customer portal account was disabled and important work is blocked,Account Access,High
Internet disconnects several times a day in the branch office,Network,Medium
My desktop computer continuously restarts and I cannot work,Hardware,High
Urgent issue: i urgently need access to company email for business operations,Account Access,High
The amount on my service plan invoice is incorrect,Billing,Medium
Please explain a charge for service plan,Billing,Low
The database server is unavailable company wide,Infrastructure,Critical
There is a complete outage of the web application,Infrastructure,Critical
Employees in the support department cannot connect to the company VPN,Network,High
Please help. microsoft Teams crashes whenever I open it,Software,Medium
Please help. there was an unusual login attempt on company email,Security,Medium
Internet speed is slightly slow in the branch office,Network,Low
Support needed: my workstation shuts down immediately after startup,Hardware,High
Support needed: the cloud platform is unavailable for many users,Infrastructure,High
Excel closes whenever I try to read a message,Software,Medium
Support needed: i want to change my customer portal password,Account Access,Low
Urgent issue: someone logged into my customer portal account without permission,Security,High
Support needed: microsoft Teams closes whenever I try to read a message,Software,Medium
Urgent issue: the latest update for CRM application will not install,Software,Low
Urgent issue: my access to Microsoft 365 suddenly stopped during critical work,Account Access,High
The network connection keeps dropping in the main office,Network,Medium
An attacker gained administrator access to customer portal,Security,Critical
Urgent issue: suspicious activity was detected on my customer portal account,Security,High
I need assistance because my employee portal account was disabled and important work is blocked,Account Access,High
I need assistance because the production environment is unavailable company wide,Infrastructure,Critical
The internal portal has completely crashed for all users,Infrastructure,Critical
Confidential information from company email was accessed without permission,Security,Critical
Support needed: i need billing details for support plan,Billing,Low
Microsoft Teams freezes during normal work,Software,Medium
My admin dashboard account was disabled and important work is blocked,Account Access,High
The monitor connected to my desktop computer keeps disconnecting,Hardware,Medium
Urgent issue: desktop application crashes when I try to open a file,Software,Medium
Administrator credentials for employee portal have been compromised,Security,Critical
Please provide the receipt for support plan,Billing,Low
I need assistance because some employees are having trouble accessing the backend service,Infrastructure,Medium
WiFi disconnects frequently in the support department,Network,Medium
Urgent issue: a major component of the production server is failing,Infrastructure,High
Urgent issue: i have completely lost access to employee portal and cannot continue working,Account Access,High
Excel closes unexpectedly when I use it,Software,Medium
I need assistance because an important feature in company application has completely stopped working,Software,High
Please help. there is a complete outage of the internal portal,Infrastructure,Critical
I was billed twice for the same monthly subscription,Billing,High
The cloud platform is unavailable company wide,Infrastructure,Critical
Network access is completely unavailable in the finance department,Network,High
Support needed: i have completely lost access to cloud account and cannot continue working,Account Access,High
Some employees are having trouble accessing the cloud platform,Infrastructure,Medium
Urgent issue: company application freezes during normal work,Software,Medium
The latest update for company application will not install,Software,Low
I need assistance because the production server keeps crashing during business hours,Infrastructure,High
I have completely lost access to cloud account and cannot continue working,Account Access,High
The entire database server is offline and nobody can use it,Infrastructure,Critical
Support needed: the desktop computer has completely stopped working,Hardware,High
I need assistance because my company laptop will not turn on,Hardware,High
Please help. the latest update for Microsoft Teams will not install,Software,Low
I want to change my cloud account password,Account Access,Low
Someone logged into my admin dashboard account without permission,Security,High
Support needed: microsoft Teams crashes continuously for several employees,Software,High
I need help resetting my password for HR portal,Account Access,Low
The latest update for Excel will not install,Software,Low
I need assistance because someone logged into my Microsoft 365 account without permission,Security,High
Malware has infected systems connected to company account,Security,Critical
The entire engineering floor has lost network connectivity,Network,High
The printer connected to my company laptop has a minor issue,Hardware,Low
desktop application failure is preventing the team from completing critical work,Software,High
WiFi coverage is poor in the finance department,Network,Low
Urgent issue: my workstation is making a strange noise,Hardware,Low
The customer platform is unavailable for many users,Infrastructure,High
Urgent issue: eRP system closes whenever I try to read a message,Software,Medium
An attacker gained administrator access to HR portal,Security,Critical
Please help. a suspicious attachment was sent to my cloud account account,Security,Medium
I need assistance because the production environment keeps crashing during business hours,Infrastructure,High
My company account account was disabled and important work is blocked,Account Access,High
The office computer freezes randomly during work,Hardware,Medium
Microsoft Teams closes unexpectedly when I use it,Software,Medium
I need assistance because outlook crashes whenever I open it,Software,Medium
I want to change my customer portal password,Account Access,Low
Network performance is inconsistent in the branch office,Network,Low
desktop application freezes during normal work,Software,Medium
The web application is responding slowly to requests,Infrastructure,Medium
A suspicious attachment was sent to my HR portal account,Security,Medium
Payment failed but money was deducted for cloud subscription,Billing,High
Internet speed is slightly slow in the support department,Network,Low
The amount on my company purchase invoice is incorrect,Billing,Medium
Support needed: there is a complete outage of the production environment,Infrastructure,Critical
I need assistance because i need help configuring ERP system,Software,Low
Urgent issue: my refund for company purchase is delayed,Billing,Medium
Please help. the customer platform is experiencing a serious service disruption,Infrastructure,High
Support needed: many employees cannot access the cloud platform,Infrastructure,High
An important feature in CRM application has completely stopped working,Software,High
Urgent issue: the web application is responding slowly to requests,Infrastructure,Medium
I need assistance because confidential information from cloud account was accessed without permission,Security,Critical
Support needed: my customer portal account was disabled and important work is blocked,Account Access,High
I need assistance because my desktop computer is making a strange noise,Hardware,Low
I need help installing Outlook,Software,Low
The customer platform is responding slowly to requests,Infrastructure,Medium
I need assistance because the password reset link for cloud account has expired,Account Access,Low
Urgent issue: excel freezes during normal work,Software,Medium
Please help. my company email account was disabled and important work is blocked,Account Access,High
The laptop freezes randomly during work,Hardware,Medium
ERP system displays an unexpected error,Software,Medium
Support needed: administrator credentials for Microsoft 365 have been compromised,Security,Critical
I need billing details for monthly subscription,Billing,Low
I received a suspicious email related to cloud account,Security,Medium
Someone logged into my company email account without permission,Security,High
I need assistance because an important feature in Excel has completely stopped working,Software,High
Sensitive company data from company account may have been stolen,Security,Critical
Please help. wiFi signal is weak in the support department,Network,Low
I was billed twice for the same service plan,Billing,High
WiFi coverage is poor in the main office,Network,Low
I need billing details for software license,Billing,Low
Urgent issue: the backend service is unavailable company wide,Infrastructure,Critical
Please help. the cloud platform is running unusually slowly,Infrastructure,Medium
I have completely lost access to HR portal and cannot continue working,Account Access,High
I was billed twice for the same support plan,Billing,High
desktop application installation fails on my computer,Software,Low
